,feature,weight,std
179,V234,0.0005808325266215108,0.000474247772078076
180,D6,0.0005808325266215108,0.0013131326201597608
181,id_06,0.0005808325266215108,0.001572901917644896
182,R_comcast,0.0005808325266214887,0.0011616650532429774
183,V292,0.0003872216844143628,0.0007744433688286423
184,V104,0.0003872216844143628,0.0009872254624574642
185,V259,0.0003872216844143628,0.0007744433688286423
186,P_icloud,0.00038722168441434056,0.000474247772078076
187,V180,0.00038722168441434056,0.0007744433688286812
188,V334,0.00038722168441434056,0.000474247772078076
189,V233,0.00038722168441434056,0.00047424777207807597
190,V232,0.00038722168441434056,0.00047424777207807597
191,V103,0.00038722168441434056,0.000474247772078076
192,V222,0.00038722168441434056,0.000474247772078076
193,V228,0.00038722168441434056,0.000474247772078076
194,R_msn,0.00038722168441434056,0.000474247772078076
195,V151,0.00038722168441434056,0.000474247772078076
196,V62,0.00038722168441434056,0.001572901917644896
197,V260,0.00038722168441434056,0.000474247772078076
198,V161,0.00038722168441434056,0.0007744433688286812
199,V167,0.00038722168441434056,0.000474247772078076
200,V100,0.0001936108422072147,0.0009484955441560976
201,id_37_T,0.00019361084220719248,0.0009484955441561248
202,V94,0.00019361084220719248,0.0007244254379039472
203,V176,0.00019361084220719248,0.0012842690378917403
204,V285,0.00019361084220719248,0.0014227433162341495
205,V136,0.00019361084220719248,0.0014227433162341495
206,V276,0.00019361084220719248,0.0007244254379039472
207,V19,0.00019361084220719248,0.0007244254379039472
208,id_15_Found,0.00019361084220719248,0.001128935507230452
209,V325,0.00019361084220717028,0.00038722168441434056
210,V172,0.00019361084220717028,0.00038722168441434056
211,V171,0.00019361084220717028,0.00038722168441434056
212,V60,0.00019361084220717028,0.0003872216844143406
213,V58,0.00019361084220717028,0.00038722168441434056
214,V331,0.00019361084220717028,0.0003872216844143406
215,V110,0.00019361084220717028,0.00038722168441434056
216,V113,0.00019361084220717028,0.0003872216844143406
217,V118,0.00019361084220717028,0.0003872216844143406
218,V144,0.00019361084220717028,0.0003872216844143406
